Plot;Trt;Species;Sp_code;X1999;X2000;X2001;X2002;X2003;X2004;X2005;X2006;X2007;X2008;X2009;X2010;X2011;X2012;X2013;X2014
21;UR;Selinum carvifolia;SeliCarv;1.73;3.13;3.58;4.924;0.7378;1.755;1.904;3.191;1.138;1.936;3.473;1.945;0.478;0.776;0.411;0
21;UR;Stellaria graminea;StellGram;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.203
21;UR;Succisa pratensis;SuccPrat;0.89;2.75;5.71;5.444;1.602;3.631;1.54;2.778;0.625;0.837;1.078;1.348;1.311;1.714;0.639;0
21;UR;Trifolium repens;TrifRepe;0;0;0;0;0;0.045;0.02;0;0.187;0.013;0.035;0.058;0.042;0.171;0.147;0
21;UR;Veronica chamaedrys;VeroCham;0;0;0;0;0.0672;0;0;0;0;0;0;0;0;0;0;0.32
21;UR;Veronica officinalis;VeroOffi;0;0;0;0.0715;0;0.183;0.037;0;0.076;0;0.033;0.279;0;0.044;0.011;0
23;FR;Agrostis canina;AgroCani;15.93;11.34;0;20.063;11.842;35.107;27.9;11.282;9.563;20.22;17.551;8.659;9.73;9.166;4.748;6.979
23;FR;Agrostis tenuis (Syn. A.capilaris);AgroTenu;0;0;0;0;0;0;0;0;0;0;0;0.068;0;0;0;0
23;FR;Ajuga reptans;AjugRept;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.672
23;FR;Angelica sylvestris;AngeSylv;0.58;1.99;1.47;0.0219;0;0;0;1.985;0;0;0;0;0;0;0;1.007
23;FR;Anthoxanthum odoratum;AnthOdor;0.3;0.37;5.11;5.934;0.7507;0.011;0.054;0.359;0;0;0;0;0.014;0;0;0.071
23;FR;Betonica officinalis;BetoOffi;1.1;0.22;4.23;8.924;4.757;6.267;10.68;0.225;32.211;20.414;11.259;8.323;7.602;4.962;2.882;0.073
23;FR;Carex hartmanii;CareHart;5.12;1.22;2.24;1.903;2.372;2.107;1.06;1.198;1.619;0.466;1.281;0;0;0;1.684;2.444
23;FR;Carex nigra;CareNigr;3.59;0.32;0.91;0.5045;1.276;2.048;2;0.282;2.363;1.357;1.592;2.133;2.39;4.193;3.154;4.432
23;FR;Carex palescens;CarePall;0;0.1;0;0.0312;0;1.00E-04;0;0.102;0;0;0;0;0;0;0.122;0
23;FR;Carex panicea;CarePani;0;0;0;0;0;0;0;0;0;0.104;0;0;0;0;0;0
23;FR;Carex umbrosa;CareUmbr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32.462
23;FR;Cirsium palustre;CirsPalu;8.71;97.25;5.31;0.1797;0;0.041;0.014;96.82;0;0;0.122;0.003;0;0;0;0.578
23;FR;Deschampsia cespitosa;DescCesp;10.07;5.56;13.18;24.767;6.173;9.46;14.2;5.584;11.481;31.021;58.605;44.89;41.782;33.864;17.258;18.237
23;FR;Epilobium palustre;EpilPalu;0;0;0;0;0;0;0;0;0;0;0.006;0;0;0;0;0
23;FR;Equisetum arvense;EquiArve;0;0;0;0;0;0;0;0;0;0;0;0;0.037;0.519;0;0
23;FR;Festuca ovina;FestOvin;0;0;0;0;0;1.057;0;0;0;0;0;0;0;0;0;0
23;FR;Festuca pratensis;FestPrat;11.7;3.89;6.44;1.045;0.1781;0.362;0.559;3.852;0;0;0;0;0;0;0;0
23;FR;Festuca rubra;FestRubr;43.76;39.97;0;23.249;0;23.925;20.4;39.73;14.795;26.288;11.251;7.524;8.969;12.797;12.795;17.609
23;FR;Galium boreale;GaliBore;0.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23;FR;Galium palustre;GaliPalu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.865
23;FR;Holcus lanatus;HolcLana;7.62;5.72;0;60.085;41.42;22.229;15.6;5.659;2.447;2.155;11.16;2.114;2.207;4.712;23.556;14.228
23;FR;Juncus effusus;JuncEffu;16.87;4.01;6.13;6.562;21.219;10.961;7.776;4.021;11.1;9.442;7.709;14.702;10.887;11.22;42.357;2.139
23;FR;Lathyrus pratensis;LathPrat;0;0;0;0.8162;0;0;0;0;0;0;0;0.016;1.307;0.604;0.237;15.09
23;FR;Luzula multiflora ;LuzuMult;0.91;0;0.02;0;0.0319;0;0;0;0;0;0;0;0;0;0;0
23;FR;Lychnis flos-cuculi;LychFlos;0.32;0.73;0.25;0;0;0.008;0;0.769;0;0;0;0;0;0;0;0
23;FR;Lysimachia vulgaris;LysiVulg;0;0;0;0;0;0;0;0;0;0;0;0.185;0.278;1.965;14.002;0
23;FR;Molinia caerulea;MoliCaeru;2.79;0.82;1.48;0.942;1.056;0.854;1.033;0.846;0.509;1.011;0.425;0.639;0.266;0.768;0.011;0
23;FR;Myosotis nemorosa;MyosNemo;8.19;0.02;0.03;0;0.0077;0;0;0.049;0;0;0;0;0;0;0;0
23;FR;Nardus stricta;NardStri;1.34;1.51;1.08;0;0.3547;3.74;0.024;1.453;0.232;0.075;0;0;0;0;0;0
23;FR;Poa pratensis s.l. ;PoaPrat;2.69;0.85;0.92;0;0;0;0.13;0.82;0;0;0;0;0;0;0;0
23;FR;Poa trivialis;PoaTriv;0;0;0;0.5041;0.7172;3.197;0.002;0;0;0;0.552;0.143;1.971;0.695;0.047;0
23;FR;Potentilla erecta;PoteErec;0.16;0.12;0.13;0.0202;0.0199;0.06;0.024;0.124;0;0;0;0.001;0;0;0;0
23;FR;Ranunculus acer (Syn. R. acris);RanuAcri;0.1;0.19;0.15;0;0;0;0;0.173;0;0;0;0;0;0;0;0
23;FR;Ranunculus auricomus;RanuAuri;0.02;0.01;0;0.0062;0.0845;0;0;0.023;0;0;0;0;0;0;0;0
23;FR;Rumex acetosa;RumeAcet;0;0;0;0;0;1.832;0.027;0;0;0;0;0;0;0;0;0
23;FR;Scorzonera humilis;ScorHumi;0;0.04;0;0;0;0;0;0.039;0;0;0;0;0;0;0;0
23;FR;Selinum carvifolia;SeliCarv;0.01;0;0;0;0;0;0.056;0;0;0;0.265;0;0;0.336;0;0
23;FR;Stellaria graminea;StellGram;0;0;0;0;0;0;0;0;0;0;0;0.002;0;0;0;0
23;FR;Succisa pratensis;SuccPrat;0;0;0.02;0.007;0;0;0;0;0;0;0;0;0;0;0;0
